conv_id,utterance_idx,context,prompt,translated_prompt,speaker_idx,utterance,translated_utterance,selfeval,tags,,,
hit:1_conv:2,5,afraid, i used to scare for darkness,كنت أخاف من الظلام,2, i virtually thought so.. and i used to get sweatings,ظننت ذلك عمليا .. وكنت أتعرق,4|3|4_3|5|5,,,,
hit:1_conv:2,6,afraid, i used to scare for darkness,كنت أخاف من الظلام,3,Wait what are sweatings,انتظر ما هو العرق,4|3|4_3|5|5,,,,
hit:1_conv:3,1,proud,I showed a guy how to run a good bead in welding class and he caught on quick.,لقد أوضحت للرجل كيفية تشغيل حبة جيدة في فصل اللحام واشتعلت بسرعة.,3,Hi how are you doing today,مرحبا كيف حالك اليوم,3|5|5_4|3|4,<HI>,,,
hit:1_conv:3,2,proud,I showed a guy how to run a good bead in welding class and he caught on quick.,لقد أوضحت للرجل كيفية تشغيل حبة جيدة في فصل اللحام واشتعلت بسرعة.,2,doing good.. how about you,تفعل الخير .. ماذا عنك,3|5|5_4|3|4,,,,
hit:1_conv:3,3,proud,I showed a guy how to run a good bead in welding class and he caught on quick.,لقد أوضحت للرجل كيفية تشغيل حبة جيدة في فصل اللحام واشتعلت بسرعة.,3,Im good_comma_ trying to understand how someone can feel like hitting a blank wall when they see the darkness,"أنا بخير ، أحاول أن أفهم كيف يمكن لشخص ما أن يشعر وكأنه يصطدم بجدار فارغ عندما يرى الظلام",3|5|5_4|3|4,,,,
hit:1_conv:3,4,proud,I showed a guy how to run a good bead in welding class and he caught on quick.,لقد أوضحت للرجل كيفية تشغيل حبة جيدة في فصل اللحام واشتعلت بسرعة.,2,it's quite strange that you didnt imagine it,من الغريب أنك لم تتخيل ذلك,3|5|5_4|3|4,,,,
hit:1_conv:3,5,proud,I showed a guy how to run a good bead in welding class and he caught on quick.,لقد أوضحت للرجل كيفية تشغيل حبة جيدة في فصل اللحام واشتعلت بسرعة.,3,i dont imagine feeling a lot_comma_ maybe your on to something,"أنا لا أتخيل الشعور كثيرًا ، ربما لديك شيء ما",3|5|5_4|3|4,,,,
hit:2_conv:4,1,faithful,I have always been loyal to my wife.,لطالما كنت مخلصًا لزوجتي.,4,I have never cheated on my wife.,لم أغش زوجتي قط.,3|3|5_2|4|4,,,,
hit:2_conv:4,2,faithful,I have always been loyal to my wife.,لطالما كنت مخلصًا لزوجتي.,5,And thats something you should never do_comma_ good on you. ,"وهذا شيء يجب ألا تفعله أبدًا ، جيد عليك.",3|3|5_2|4|4,,,,
hit:2_conv:4,3,faithful,I have always been loyal to my wife.,لطالما كنت مخلصًا لزوجتي.,4,Yea it hasn't been easy but I am proud I haven't,"نعم ، لم يكن الأمر سهلاً ولكني فخور بأنني لم أفعل ذلك",3|3|5_2|4|4,,,,
hit:2_conv:4,4,faithful,I have always been loyal to my wife.,لطالما كنت مخلصًا لزوجتي.,5,What do you mean it hasn't been easy? How close have you come to cheating? ,ماذا تعني أن الأمر لم يكن سهلاً؟ ما مدى قربك من الغش؟,3|3|5_2|4|4,,,,
hit:2_conv:5,1,terrified,A recent job interview that I had made me feel very anxious because I felt like I didn't come prepared.,لقد جعلتني مقابلة عمل أجريت مؤخرًا أشعر بقلق شديد لأنني شعرت أنني لم أكن مستعدًا.,5,Job interviews always make me sweat bullets_comma_ makes me uncomfortable in general to be looked at under a microscope like that. ,"المقابلات الوظيفية تجعلني دائمًا أتعرق الرصاص ، وتجعلني غير مرتاح بشكل عام للنظر تحت المجهر من هذا القبيل.",2|4|4_3|3|5,,,,
hit:2_conv:5,2,terrified,A recent job interview that I had made me feel very anxious because I felt like I didn't come prepared.,لقد جعلتني مقابلة عمل أجريت مؤخرًا أشعر بقلق شديد لأنني شعرت أنني لم أكن مستعدًا.,4,Don't be nervous. Just be prepared.,لا تكن عصبيا. فقط كن مستعدا.,2|4|4_3|3|5,,,,
hit:2_conv:5,3,terrified,A recent job interview that I had made me feel very anxious because I felt like I didn't come prepared.,لقد جعلتني مقابلة عمل أجريت مؤخرًا أشعر بقلق شديد لأنني شعرت أنني لم أكن مستعدًا.,5,I feel like getting prepared and then having a curve ball thrown at you throws you off. ,أشعر بالرغبة في الاستعداد ثم إلقاء كرة منحنية عليك.,2|4|4_3|3|5,,,,
hit:2_conv:5,4,terrified,A recent job interview that I had made me feel very anxious because I felt like I didn't come prepared.,لقد جعلتني مقابلة عمل أجريت مؤخرًا أشعر بقلق شديد لأنني شعرت أنني لم أكن مستعدًا.,4,Yes but if you stay calm it will be ok.,"نعم ، لكن إذا بقيت هادئًا فسيكون الأمر على ما يرام.",2|4|4_3|3|5,,,,
hit:2_conv:5,5,terrified,A recent job interview that I had made me feel very anxious because I felt like I didn't come prepared.,لقد جعلتني مقابلة عمل أجريت مؤخرًا أشعر بقلق شديد لأنني شعرت أنني لم أكن مستعدًا.,5,It's hard to stay clam. How do you do it? ,من الصعب البقاء هادئًا. كيف يمكنك أن تفعل ذلك؟,2|4|4_3|3|5,,,,
hit:3_conv:7,1,joyful,I am very happy to have been first over 300 students during this years at my enginering school,يسعدني جدًا أن أكون أول أكثر من 300 طالب خلال هذه السنوات في مدرستي الهندسية,7,Hi_comma_ this year_comma_ I was the first over 300 students at my enginering school,"مرحبًا ، هذا العام ، كنت أول أكثر من 300 طالب في مدرستي الهندسية",5|5|5_4|5|5,<HI>,,,
hit:3_conv:7,2,joyful,I am very happy to have been first over 300 students during this years at my enginering school,يسعدني جدًا أن أكون أول أكثر من 300 طالب خلال هذه السنوات في مدرستي الهندسية,6,Sounds great! So what's your major?,يبدو عظيما! إذن ما هو تخصصك؟,5|5|5_4|5|5,,,,
hit:3_conv:7,3,joyful,I am very happy to have been first over 300 students during this years at my enginering school,يسعدني جدًا أن أكون أول أكثر من 300 طالب خلال هذه السنوات في مدرستي الهندسية,7,It is computer science. I am very happy of this achievement and my family is very proud.,إنه علم الحاسوب. أنا سعيد جدًا بهذا الإنجاز وعائلتي فخورة جدًا به.,5|5|5_4|5|5,,,,
hit:3_conv:7,4,joyful,I am very happy to have been first over 300 students during this years at my enginering school,يسعدني جدًا أن أكون أول أكثر من 300 طالب خلال هذه السنوات في مدرستي الهندسية,6,Well pleased. You should be having brains_comma_man!That's a tough course_comma_i hear.,"يسر بشكل جيد. يجب أن يكون لديك عقول يا رجل ، هذا مسار صعب ، أسمع.",5|5|5_4|5|5,,,,
hit:4_conv:8,1,angry,I once lost my job and got mad.,لقد فقدت وظيفتي ذات مرة وأصبت بالجنون.,4,I lost my job last year and got really angry.,لقد فقدت وظيفتي العام الماضي وغضبت حقًا.,3|5|5_5|5|5,,,,
hit:4_conv:8,2,angry,I once lost my job and got mad.,لقد فقدت وظيفتي ذات مرة وأصبت بالجنون.,8,I am sorry to hear that. Did it happen out of the blue?,أنا آسف لسماع هذا. هل حدث ذلك فجأة؟,3|5|5_5|5|5,,,,
hit:4_conv:8,3,angry,I once lost my job and got mad.,لقد فقدت وظيفتي ذات مرة وأصبت بالجنون.,4,Yes_comma_ it was a complete surprise.,"نعم ، كانت مفاجأة كاملة.",3|5|5_5|5|5,,,,
hit:4_conv:8,4,angry,I once lost my job and got mad.,لقد فقدت وظيفتي ذات مرة وأصبت بالجنون.,8,I am sorry to hear that. I hope it turned out to be a blessing in decise.,أنا آسف لسماع هذا. آمل أن تكون نعمة في الحسم.,3|5|5_5|5|5,,,,
hit:5_conv:10,1,sad,One year during christmas_comma_ i did not get a single gift. It was a rough day for me.,"سنة واحدة خلال الكريسماس ، لم أحصل على هدية واحدة. كان يومًا عصيبًا بالنسبة لي.",9,During christmas a few years ago_comma_ I did not get any presents.,"خلال عيد الميلاد قبل بضع سنوات ، لم أحصل على أي هدايا.",5|1|5_5|5|5,,,,
hit:5_conv:10,2,sad,One year during christmas_comma_ i did not get a single gift. It was a rough day for me.,"سنة واحدة خلال الكريسماس ، لم أحصل على هدية واحدة. كان يومًا عصيبًا بالنسبة لي.",10,Wow_comma_ that must be terrible_comma_ I cannot imagine_comma_ I lvoe christmas,"واو ، يجب أن يكون هذا فظيعًا ، لا أستطيع أن أتخيل ، أنا أحب عيد الميلاد",5|1|5_5|5|5,,,,
hit:5_conv:10,3,sad,One year during christmas_comma_ i did not get a single gift. It was a rough day for me.,"سنة واحدة خلال الكريسماس ، لم أحصل على هدية واحدة. كان يومًا عصيبًا بالنسبة لي.",9,Since that day christmas has not been a good time for me. As I have no family_comma_ christmas is always the worst.,"منذ ذلك اليوم ، لم يكن عيد الميلاد هو الوقت المناسب لي. بما أنه ليس لدي عائلة ، فإن عيد الميلاد هو الأسوأ دائمًا.",5|1|5_5|5|5,,,,
hit:5_conv:10,4,sad,One year during christmas_comma_ i did not get a single gift. It was a rough day for me.,"سنة واحدة خلال الكريسماس ، لم أحصل على هدية واحدة. كان يومًا عصيبًا بالنسبة لي.",10,Wow_comma_ I am sorry to hear that_comma_ I wish I could make it a better holiday for you!,"واو ، أنا آسف لسماع ذلك ، أتمنى أن أجعلها عطلة أفضل لك!",5|1|5_5|5|5,,,,
hit:5_conv:10,5,sad,One year during christmas_comma_ i did not get a single gift. It was a rough day for me.,"سنة واحدة خلال الكريسماس ، لم أحصل على هدية واحدة. كان يومًا عصيبًا بالنسبة لي.",9,Some days are just days that you never forget. I wish you could as well.,بعض الأيام هي مجرد أيام لا تنساها أبدًا. أتمنى أن تستطيع كذلك.,5|1|5_5|5|5,,,,
hit:5_conv:11,1,jealous,I was at work_comma_ and my coworker was called into my bosses office. Then they were allowed to work remotely every monday. this made me jealous because I enjoy working from home,"كنت في العمل ، وتم استدعاء زميلي في مكتب مديري. ثم سُمح لهم بالعمل عن بعد كل يوم اثنين. هذا جعلني أشعر بالغيرة لأنني أستمتع بالعمل من المنزل",10,My coworker is allowed to work remotely_comma_ but I am not...,"يُسمح لزملائي بالعمل عن بُعد ، لكنني لست كذلك ...",5|5|5_5|1|5,,,,
hit:5_conv:11,2,jealous,I was at work_comma_ and my coworker was called into my bosses office. Then they were allowed to work remotely every monday. this made me jealous because I enjoy working from home,"كنت في العمل ، وتم استدعاء زميلي في مكتب مديري. ثم سُمح لهم بالعمل عن بعد كل يوم اثنين. هذا جعلني أشعر بالغيرة لأنني أستمتع بالعمل من المنزل",9,I work remotely_comma_ I wish that you could do something like that as well.,"أنا أعمل عن بعد ، وأتمنى أن تفعل شيئًا كهذا أيضًا.",5|5|5_5|1|5,,,,
hit:5_conv:11,3,jealous,I was at work_comma_ and my coworker was called into my bosses office. Then they were allowed to work remotely every monday. this made me jealous because I enjoy working from home,"كنت في العمل ، وتم استدعاء زميلي في مكتب مديري. ثم سُمح لهم بالعمل عن بعد كل يوم اثنين. هذا جعلني أشعر بالغيرة لأنني أستمتع بالعمل من المنزل",10,I do too_comma_ it is unfortnuate because_comma_ unbiased_comma_ I am our best performer_comma_ so it is curious,"أنا أفعل ذلك أيضًا ، إنه أمر مؤسف لأنني ، غير متحيز ، أفضل مؤدي لدينا ، لذا فهو مثير للفضول",5|5|5_5|1|5,,,,
hit:5_conv:11,4,jealous,I was at work_comma_ and my coworker was called into my bosses office. Then they were allowed to work remotely every monday. this made me jealous because I enjoy working from home,"كنت في العمل ، وتم استدعاء زميلي في مكتب مديري. ثم سُمح لهم بالعمل عن بعد كل يوم اثنين. هذا جعلني أشعر بالغيرة لأنني أستمتع بالعمل من المنزل",9,Sometimes in life_comma_ it is not about performance. Some people just get a shiner spoon.,"في بعض الأحيان في الحياة ، لا يتعلق الأمر بالأداء. بعض الناس يحصلون على ملعقة لامع.",5|5|5_5|1|5,,,,
hit:6_conv:13,1,terrified,I was home alone. I heard a loud noise come from the kitchen. ,كنت في المنزل وحدي. سمعت ضجيجًا عاليًا يأتي من المطبخ.,11,The other night I was alone and heard a nose coming from the kitchen... it was creepy. ,في الليلة الماضية كنت وحدي وسمعت أنفًا يخرج من المطبخ ... كان زاحفًا.,1|5|5_I have clicked the 'End Chat' button thank you!|4|5,,,,
hit:7_conv:14,1,grateful,I went to a park and I set on a bench. I didn't notice that my wallet felt. A man came to me from behind giving me back my wallet.,ذهبت إلى حديقة وجلست على مقعد. لم ألاحظ أن محفظتي شعرت. جاءني رجل من الخلف وأعاد لي محفظتي.,7,Hi_comma_ I went to a park and I set on a bench. I didn't notice that my wallet felt. A man came to me from behind giving me back my wallet.,"مرحبًا ، ذهبت إلى حديقة وجلست على مقعد. لم ألاحظ أن محفظتي شعرت. جاءني رجل من الخلف وأعاد لي محفظتي.",5|5|5_5|4|5,<HI>,,,
hit:7_conv:14,2,grateful,I went to a park and I set on a bench. I didn't notice that my wallet felt. A man came to me from behind giving me back my wallet.,ذهبت إلى حديقة وجلست على مقعد. لم ألاحظ أن محفظتي شعرت. جاءني رجل من الخلف وأعاد لي محفظتي.,5,Thats a sweet man_comma_ I hope you acknowledged his kind gesture. ,"هذا رجل لطيف ، أتمنى أن تكون قد اعترفت بلفتة اللطيفة.",5|5|5_5|4|5,,,,
hit:7_conv:14,3,grateful,I went to a park and I set on a bench. I didn't notice that my wallet felt. A man came to me from behind giving me back my wallet.,ذهبت إلى حديقة وجلست على مقعد. لم ألاحظ أن محفظتي شعرت. جاءني رجل من الخلف وأعاد لي محفظتي.,7,Yes_comma_ I did. I was so grateful because I have a lot of money in my wallet.,نعم فعلت. كنت ممتنًا جدًا لأن لدي الكثير من المال في محفظتي.,5|5|5_5|4|5,,,,
hit:7_conv:14,4,grateful,I went to a park and I set on a bench. I didn't notice that my wallet felt. A man came to me from behind giving me back my wallet.,ذهبت إلى حديقة وجلست على مقعد. لم ألاحظ أن محفظتي شعرت. جاءني رجل من الخلف وأعاد لي محفظتي.,5,Their aren't that many well rounded people in the world these days so when you see one you should always show appreciation! ,"هؤلاء ليسوا الكثير من الأشخاص ذوي الخبرة الجيدة في العالم هذه الأيام ، لذلك عندما ترى شخصًا ، يجب أن تظهر تقديرك دائمًا!",5|5|5_5|4|5,,,,
hit:7_conv:15,1,sad,I got recently got three rejection letters for 3 different jobs in a matter of a week and a half. That was a painful experience. ,تلقيت مؤخرًا ثلاثة خطابات رفض لثلاث وظائف مختلفة في غضون أسبوع ونصف. كانت تلك تجربة مؤلمة.,5,People get rejected all the time but it shouldn't be an excuse to let it dissuade you from reaching your goals.,يتم رفض الأشخاص طوال الوقت ولكن لا ينبغي أن يكون ذلك عذرًا لتثنيك عن الوصول إلى أهدافك.,5|4|5_5|5|5,,,,
hit:7_conv:15,2,sad,I got recently got three rejection letters for 3 different jobs in a matter of a week and a half. That was a painful experience. ,تلقيت مؤخرًا ثلاثة خطابات رفض لثلاث وظائف مختلفة في غضون أسبوع ونصف. كانت تلك تجربة مؤلمة.,7,What happened?,ماذا حدث؟,5|4|5_5|5|5,,,,
hit:7_conv:15,3,sad,I got recently got three rejection letters for 3 different jobs in a matter of a week and a half. That was a painful experience. ,تلقيت مؤخرًا ثلاثة خطابات رفض لثلاث وظائف مختلفة في غضون أسبوع ونصف. كانت تلك تجربة مؤلمة.,5,Got rejected from a place I wanted to work_comma_ not once but three times ,رفضت من مكان أردت العمل فيه ليس مرة واحدة بل ثلاث مرات,5|4|5_5|5|5,,,,
hit:7_conv:15,4,sad,I got recently got three rejection letters for 3 different jobs in a matter of a week and a half. That was a painful experience. ,تلقيت مؤخرًا ثلاثة خطابات رفض لثلاث وظائف مختلفة في غضون أسبوع ونصف. كانت تلك تجربة مؤلمة.,7,I am sorry to hear that. I hope you find a better opportunity. Did you know why they rejected you?,أنا آسف لسماع هذا. أتمنى أن تجد فرصة أفضل. هل تعلم لماذا رفضوك؟,5|4|5_5|5|5,,,,
hit:7_conv:15,5,sad,I got recently got three rejection letters for 3 different jobs in a matter of a week and a half. That was a painful experience. ,تلقيت مؤخرًا ثلاثة خطابات رفض لثلاث وظائف مختلفة في غضون أسبوع ونصف. كانت تلك تجربة مؤلمة.,5,Thanks_comma_ they gave me the same generic lines you always hear. ,"شكرًا ، لقد أعطوني نفس الخطوط العامة التي تسمعها دائمًا.",5|4|5_5|5|5,,,,
hit:8_conv:16,1,prepared,I had my entire house boarded up when the hurricane came.,كان منزلي بالكامل مغلقا عندما جاء الإعصار.,4,I had to board my entire house when the hurricane was coming.,اضطررت إلى الصعود إلى منزلي بالكامل عندما كان الإعصار قادمًا.,3|4|5_5|5|5,,,,
hit:8_conv:16,2,prepared,I had my entire house boarded up when the hurricane came.,كان منزلي بالكامل مغلقا عندما جاء الإعصار.,8,WOW! Did it do any damage?,رائع! هل تسببت في أي ضرر؟,3|4|5_5|5|5,,,,
hit:8_conv:16,3,prepared,I had my entire house boarded up when the hurricane came.,كان منزلي بالكامل مغلقا عندما جاء الإعصار.,4,No luckily the house was ok.,لا لحسن الحظ كان المنزل على ما يرام.,3|4|5_5|5|5,,,,
hit:8_conv:16,4,prepared,I had my entire house boarded up when the hurricane came.,كان منزلي بالكامل مغلقا عندما جاء الإعصار.,8,That is great. I would have been scared to death. Was it recent?,هذا عظيم. كنت سأخاف حتى الموت. هل كانت حديثة؟,3|4|5_5|5|5,,,,
hit:9_conv:19,1,embarrassed,one time when I was in preschool_comma_ I had to write on the board. when I got up_comma_ my pants fell down in front of the class_comma_ that embarassed me,"ذات مرة عندما كنت في مرحلة ما قبل المدرسة ، كان علي أن أكتب على السبورة. عندما نهضت ، سقط سروالي أمام الفصل ، مما أحرجني",10,Once when I was in preschool_comma_ my pants fell down in front of the whole class_comma_ I was so embarassed,"ذات مرة عندما كنت في مرحلة ما قبل المدرسة ، سقطت سروالي أمام الفصل بأكمله ، شعرت بالحرج الشديد",5|5|5_4|4|3,,,,
hit:9_conv:19,2,embarrassed,one time when I was in preschool_comma_ I had to write on the board. when I got up_comma_ my pants fell down in front of the class_comma_ that embarassed me,"ذات مرة عندما كنت في مرحلة ما قبل المدرسة ، كان علي أن أكتب على السبورة. عندما نهضت ، سقط سروالي أمام الفصل ، مما أحرجني",12,haha yeah that would be very bad !,هاها نعم سيكون ذلك سيئا للغاية!,5|5|5_4|4|3,,,,
hit:9_conv:19,3,embarrassed,one time when I was in preschool_comma_ I had to write on the board. when I got up_comma_ my pants fell down in front of the class_comma_ that embarassed me,"ذات مرة عندما كنت في مرحلة ما قبل المدرسة ، كان علي أن أكتب على السبورة. عندما نهضت ، سقط سروالي أمام الفصل ، مما أحرجني",10,It was_comma_ I almost cried cause everyone was laughing at me,كدت أبكي لأن الجميع كان يضحك علي,5|5|5_4|4|3,,,,
hit:9_conv:19,4,embarrassed,one time when I was in preschool_comma_ I had to write on the board. when I got up_comma_ my pants fell down in front of the class_comma_ that embarassed me,"ذات مرة عندما كنت في مرحلة ما قبل المدرسة ، كان علي أن أكتب على السبورة. عندما نهضت ، سقط سروالي أمام الفصل ، مما أحرجني",12,Oh no _comma_ sorry to hear that happened to you :(,"أوه لا ، آسف لسماع ما حدث لك :(",5|5|5_4|4|3,,,,
hit:10_conv:21,1,angry,I am so upset and mad. I cant believe what has happened!,أنا مستاء جدا ومجنون. لا أستطيع أن أصدق ما حدث!,14,I never thought things would go like this.,لم اعتقد ابدا الامور ستسير على هذا النحو.,2|2|1_2|2|5,,,,
hit:10_conv:21,2,angry,I am so upset and mad. I cant believe what has happened!,أنا مستاء جدا ومجنون. لا أستطيع أن أصدق ما حدث!,13,What happened for you to feel that way?,ماذا حدث لك لتشعر بهذه الطريقة؟,2|2|1_2|2|5,,,,
hit:10_conv:21,3,angry,I am so upset and mad. I cant believe what has happened!,أنا مستاء جدا ومجنون. لا أستطيع أن أصدق ما حدث!,14,I was at the beach and a hurricane changed track and was coming straight at us. My boyfriend didnt want to leave because we were on the second day only of our vacation.,كنت على الشاطئ وغيّر الإعصار مساره وكان يتجه نحونا مباشرة. لم يرغب صديقي في المغادرة لأننا كنا في اليوم الثاني فقط من إجازتنا.,2|2|1_2|2|5,,,,
hit:10_conv:21,4,angry,I am so upset and mad. I cant believe what has happened!,أنا مستاء جدا ومجنون. لا أستطيع أن أصدق ما حدث!,13,Oh that does sound terrible. What did you guys decide to do?,أوه هذا يبدو فظيعا. ماذا قررتم يا رفاق أن تفعل؟,2|2|1_2|2|5,,,,
hit:10_conv:21,5,angry,I am so upset and mad. I cant believe what has happened!,أنا مستاء جدا ومجنون. لا أستطيع أن أصدق ما حدث!,14,Well we ended up leaving I was too scared to stay and was really upset.,"حسنًا ، انتهينا من المغادرة كنت خائفًا جدًا من البقاء وكنت مستاءًا حقًا.",2|2|1_2|2|5,,,,
hit:11_conv:22,1,afraid,Last year a tree fell on my house while my family was at home. The tree broke through the ceiling just a few feet away from my daughter. The experience was terrifying.,"في العام الماضي ، سقطت شجرة على منزلي بينما كانت عائلتي في المنزل. اخترقت الشجرة السقف على بعد بضعة أقدام من ابنتي. كانت التجربة مرعبة.",15,What a difference a year makes. Last year one evening my family was at home when a tree fell on the house and broke through the ceiling.,"ما الفرق الذي يحدثه العام. في إحدى الأمسيات من العام الماضي ، كانت عائلتي في المنزل عندما سقطت شجرة على المنزل واخترقت السقف.",5|5|5_4|5|5,,,,
hit:11_conv:22,2,afraid,Last year a tree fell on my house while my family was at home. The tree broke through the ceiling just a few feet away from my daughter. The experience was terrifying.,"في العام الماضي ، سقطت شجرة على منزلي بينما كانت عائلتي في المنزل. اخترقت الشجرة السقف على بعد بضعة أقدام من ابنتي. كانت التجربة مرعبة.",16,That's very scary. I hope no one got hurt.,هذا مخيف جدا. آمل ألا يصاب أحد بأذى.,5|5|5_4|5|5,,,,
hit:11_conv:22,3,afraid,Last year a tree fell on my house while my family was at home. The tree broke through the ceiling just a few feet away from my daughter. The experience was terrifying.,"في العام الماضي ، سقطت شجرة على منزلي بينما كانت عائلتي في المنزل. اخترقت الشجرة السقف على بعد بضعة أقدام من ابنتي. كانت التجربة مرعبة.",15,We were OK_comma_ though the tree broke through only a few feet away from my daughter.,"كنا على ما يرام ، على الرغم من أن الشجرة اخترقت على بعد أقدام قليلة من ابنتي.",5|5|5_4|5|5,,,,
hit:11_conv:22,4,afraid,Last year a tree fell on my house while my family was at home. The tree broke through the ceiling just a few feet away from my daughter. The experience was terrifying.,"في العام الماضي ، سقطت شجرة على منزلي بينما كانت عائلتي في المنزل. اخترقت الشجرة السقف على بعد بضعة أقدام من ابنتي. كانت التجربة مرعبة.",16,So happy everyone was fine!! Everything else can be fixed.,سعداء جدا الجميع بخير !! يمكن إصلاح كل شيء آخر.,5|5|5_4|5|5,,,,
hit:11_conv:22,5,afraid,Last year a tree fell on my house while my family was at home. The tree broke through the ceiling just a few feet away from my daughter. The experience was terrifying.,"في العام الماضي ، سقطت شجرة على منزلي بينما كانت عائلتي في المنزل. اخترقت الشجرة السقف على بعد بضعة أقدام من ابنتي. كانت التجربة مرعبة.",15,Indeed. We were out of the house for five months while repairs were being done_comma_ but now the house is better than ever.,"في الواقع. كنا خارج المنزل لمدة خمسة أشهر أثناء إجراء الإصلاحات ، ولكن المنزل الآن أفضل من أي وقت مضى.",5|5|5_4|5|5,,,,
hit:11_conv:22,6,afraid,Last year a tree fell on my house while my family was at home. The tree broke through the ceiling just a few feet away from my daughter. The experience was terrifying.,"في العام الماضي ، سقطت شجرة على منزلي بينما كانت عائلتي في المنزل. اخترقت الشجرة السقف على بعد بضعة أقدام من ابنتي. كانت التجربة مرعبة.",16,So good to hear. Might want to trim some trees lol,من الجيد سماع ذلك. قد ترغب في تقليم بعض الأشجار لول,5|5|5_4|5|5,,,,
hit:11_conv:23,1,excited,Last week_comma_ I was watching the world cup_comma_ and watched croatia win from russia,"في الأسبوع الماضي ، كنت أشاهد كأس العالم ، وشاهدت كرواتيا تفوز من روسيا",16,So last week we were watching the world cup_comma_ and lo and behold_comma_ Croatia beat the host country_comma_ Russia,"في الأسبوع الماضي كنا نشاهد كأس العالم ، وها هي كرواتيا تغلبت على الدولة المضيفة ، روسيا",4|5|5_5|5|5,,,,
hit:11_conv:23,2,excited,Last week_comma_ I was watching the world cup_comma_ and watched croatia win from russia,"في الأسبوع الماضي ، كنت أشاهد كأس العالم ، وشاهدت كرواتيا تفوز من روسيا",15,I saw that game. They won on penalty kicks!,رأيت تلك اللعبة. لقد فازوا بركلات الترجيح!,4|5|5_5|5|5,,,,
