conv_id	utterance_idx	context	prompt	translated_prompt	speaker_idx	utterance	translated_utterance	selfeval	tags			
hit:7_conv:15	2	sad	I got recently got three rejection letters for 3 different jobs in a matter of a week and a half. That was a painful experience.	تلقيت مؤخرًا ثلاثة خطابات رفض لثلاث وظائف مختلفة في غضون أسبوع ونصف. كانت تلك تجربة مؤلمة.	7	What happened?	ماذا حدث؟	5|4|5_5|5|5				
hit:7_conv:15	3	sad	I got recently got three rejection letters for 3 different jobs in a matter of a week and a half. That was a painful experience.	تلقيت مؤخرًا ثلاثة خطابات رفض لثلاث وظائف مختلفة في غضون أسبوع ونصف. كانت تلك تجربة مؤلمة.	5	Got rejected from a place I wanted to work_comma_ not once but three times 	رفضت من مكان أردت العمل فيه ليس مرة واحدة بل ثلاث مرات	5|4|5_5|5|5				
hit:7_conv:15	4	sad	I got recently got three rejection letters for 3 different jobs in a matter of a week and a half. That was a painful experience.	تلقيت مؤخرًا ثلاثة خطابات رفض لثلاث وظائف مختلفة في غضون أسبوع ونصف. كانت تلك تجربة مؤلمة.	7	I am sorry to hear that. I hope you find a better opportunity. Did you know why they rejected you?	أنا آسف لسماع هذا. أتمنى أن تجد فرصة أفضل. هل تعلم لماذا رفضوك؟	5|4|5_5|5|5				
hit:7_conv:15	5	sad	I got recently got three rejection letters for 3 different jobs in a matter of a week and a half. That was a painful experience.	تلقيت مؤخرًا ثلاثة خطابات رفض لثلاث وظائف مختلفة في غضون أسبوع ونصف. كانت تلك تجربة مؤلمة.	5	Thanks_comma_ they gave me the same generic lines you always hear. 	شكرًا ، لقد أعطوني نفس الخطوط العامة التي تسمعها دائمًا.	5|4|5_5|5|5				
hit:14_conv:29	1	joyful	I was so happy when I moved in to my new home. My girlfriend and I have been saving for awhile and we finally got the keys last month. Now we can finally move on with our life plans.	كنت سعيدًا جدًا عندما انتقلت إلى منزلي الجديد. كنت أنا وصديقي ندخر لفترة من الوقت وحصلنا أخيرًا على المفاتيح الشهر الماضي. الآن يمكننا أخيرًا المضي قدمًا في خطط حياتنا.	20	Planning out my new home has turned out to be a blast!	لقد تحول التخطيط لمنزلي الجديد إلى انفجار!	4|5|5_4|5|4				
hit:14_conv:29	2	joyful	I was so happy when I moved in to my new home. My girlfriend and I have been saving for awhile and we finally got the keys last month. Now we can finally move on with our life plans.	كنت سعيدًا جدًا عندما انتقلت إلى منزلي الجديد. كنت أنا وصديقي ندخر لفترة من الوقت وحصلنا أخيرًا على المفاتيح الشهر الماضي. الآن يمكننا أخيرًا المضي قدمًا في خطط حياتنا.	19	What kind of house are you building? 	ما نوع المنزل الذي تبنيه؟	4|5|5_4|5|4				
hit:14_conv:29	3	joyful	I was so happy when I moved in to my new home. My girlfriend and I have been saving for awhile and we finally got the keys last month. Now we can finally move on with our life plans.	كنت سعيدًا جدًا عندما انتقلت إلى منزلي الجديد. كنت أنا وصديقي ندخر لفترة من الوقت وحصلنا أخيرًا على المفاتيح الشهر الماضي. الآن يمكننا أخيرًا المضي قدمًا في خطط حياتنا.	20	I just moved in so it is already built. Just working on planning out decorating and appliances and such.	لقد انتقلت للتو لذلك تم بناؤه بالفعل. فقط أعمل على تخطيط الديكور والأجهزة المنزلية وما شابه.	4|5|5_4|5|4				
hit:14_conv:29	4	joyful	I was so happy when I moved in to my new home. My girlfriend and I have been saving for awhile and we finally got the keys last month. Now we can finally move on with our life plans.	كنت سعيدًا جدًا عندما انتقلت إلى منزلي الجديد. كنت أنا وصديقي ندخر لفترة من الوقت وحصلنا أخيرًا على المفاتيح الشهر الماضي. الآن يمكننا أخيرًا المضي قدمًا في خطط حياتنا.	19	That sounds great. What are you most excited for? 	هذا يبدو رائعًا. ما هي أكثر الأمور التي متحمس ل؟	4|5|5_4|5|4				
hit:14_conv:29	5	joyful	I was so happy when I moved in to my new home. My girlfriend and I have been saving for awhile and we finally got the keys last month. Now we can finally move on with our life plans.	كنت سعيدًا جدًا عندما انتقلت إلى منزلي الجديد. كنت أنا وصديقي ندخر لفترة من الوقت وحصلنا أخيرًا على المفاتيح الشهر الماضي. الآن يمكننا أخيرًا المضي قدمًا في خطط حياتنا.	20	I think I am most excited for all the space I have. I can have friends over and not feel cramped.	أعتقد أنني متحمس للغاية لكل المساحة التي أمتلكها. يمكن أن يكون لدي أصدقاء ولا أشعر بالضيق.	4|5|5_4|5|4				
hit:22_conv:45	1	sad	I felt sad when my dog passed away. It was a pet that I had since I was 3 years old_comma_ and was one of the saddest days of my life.	شعرت بالحزن عندما مات كلبي. لقد كان حيوانًا أليفًا منذ أن كان عمري 3 سنوات ، وكان أحد أكثر أيام حياتي حزنًا.	30	Have you ever had a pet that you had to put down? I was so heartbroken when my dog of 16 years had to be put down. this was years ago but it still makes me sad to this day.	هل سبق لك أن كان لديك حيوان أليف كان عليك إخماده؟ لقد شعرت بالحزن الشديد عندما اضطررت إلى التخلص من كلبي البالغ من العمر 16 عامًا. كان هذا قبل سنوات لكنه ما زال يحزنني حتى يومنا هذا.	5|5|5_5|5|5				
hit:22_conv:45	2	sad	I felt sad when my dog passed away. It was a pet that I had since I was 3 years old_comma_ and was one of the saddest days of my life.	شعرت بالحزن عندما مات كلبي. لقد كان حيوانًا أليفًا منذ أن كان عمري 3 سنوات ، وكان أحد أكثر أيام حياتي حزنًا.	29	That is heartbreaking_comma_ it's always helped me to remember that no matter what happens_comma_ you have your memories with them.	هذا أمر مفجع ، لقد ساعدني دائمًا أن أتذكر أنه بغض النظر عما يحدث ، لديك ذكرياتك معهم.	5|5|5_5|5|5				
hit:22_conv:45	3	sad	I felt sad when my dog passed away. It was a pet that I had since I was 3 years old_comma_ and was one of the saddest days of my life.	شعرت بالحزن عندما مات كلبي. لقد كان حيوانًا أليفًا منذ أن كان عمري 3 سنوات ، وكان أحد أكثر أيام حياتي حزنًا.	30	That is true_comma_ we got her when I was 3 years old so I kind of grew up with her_comma_ I'll never forget those memories.	هذا صحيح ، لقد حصلنا عليها عندما كان عمري 3 سنوات لذلك نشأت معها ، ولن أنسى تلك الذكريات أبدًا.	5|5|5_5|5|5				
hit:22_conv:45	4	sad	I felt sad when my dog passed away. It was a pet that I had since I was 3 years old_comma_ and was one of the saddest days of my life.	شعرت بالحزن عندما مات كلبي. لقد كان حيوانًا أليفًا منذ أن كان عمري 3 سنوات ، وكان أحد أكثر أيام حياتي حزنًا.	29	Absolutely_comma_ it's a chapter of your life and as long as you have those memories they live on through those memories.	بالتأكيد ، إنه فصل من حياتك وطالما أن لديك تلك الذكريات التي تعيشها من خلال تلك الذكريات.	5|5|5_5|5|5				
hit:29_conv:59	1	sad	I was in a situation where I missed out on making some money_comma_ that caused me not to be happy.	كنت في موقف أخفقت فيه في جني بعض المال ، مما جعلني أشعر بالسعادة.	42	I had a chance to make some money_comma_ but my phone screwed up	أتيحت لي الفرصة لكسب بعض المال ، لكن هاتفي تعطل	4|4|4_3|4|4				
hit:29_conv:59	2	sad	I was in a situation where I missed out on making some money_comma_ that caused me not to be happy.	كنت في موقف أخفقت فيه في جني بعض المال ، مما جعلني أشعر بالسعادة.	11	Thats terrible... have you gotten a new phone yet? 	هذا فظيع ... هل حصلت على هاتف جديد بعد؟	4|4|4_3|4|4				
hit:29_conv:59	3	sad	I was in a situation where I missed out on making some money_comma_ that caused me not to be happy.	كنت في موقف أخفقت فيه في جني بعض المال ، مما جعلني أشعر بالسعادة.	42	yes i did_comma_ but i still can not get that money	نعم فعلت ، لكني ما زلت لا أستطيع الحصول على هذا المال	4|4|4_3|4|4				
hit:29_conv:59	4	sad	I was in a situation where I missed out on making some money_comma_ that caused me not to be happy.	كنت في موقف أخفقت فيه في جني بعض المال ، مما جعلني أشعر بالسعادة.	11	Thats true_comma_ but I hope some good luck comes your way soon..	هذا صحيح ، ولكن آمل أن يأتيك بعض الحظ السعيد قريبًا ..	4|4|4_3|4|4				
hit:33_conv:66	1	sad	When I realized all the chocolate was gone_comma_ after a long day. 	عندما أدركت أن كل الشوكولاتة قد اختفت ، بعد يوم طويل.	11	So the other day I had a crazy long day and got home to find all of my chocolate was gone! 	لذلك في اليوم الآخر كان لدي يوم طويل مجنون وعدت إلى المنزل لأجد كل ما عندي من الشوكولاتة قد اختفى!	5|5|5_5|5|5				
hit:33_conv:66	2	sad	When I realized all the chocolate was gone_comma_ after a long day. 	عندما أدركت أن كل الشوكولاتة قد اختفت ، بعد يوم طويل.	17	Oh my gosh! I would have been so upset! Nothing is better than chocolates on a bad day.	يا الهي! كنت سأكون مستاء جدا! لا شيء أفضل من الشوكولاتة في يوم سيء.	5|5|5_5|5|5				
hit:33_conv:66	3	sad	When I realized all the chocolate was gone_comma_ after a long day. 	عندما أدركت أن كل الشوكولاتة قد اختفت ، بعد يوم طويل.	11	I know right! ..._comma_ but atleast I had some amaretto in the fridge.. lol 	أنا أوافق! ... ، ولكن على الأقل كان لدي بعض أماريتو في الثلاجة .. لول	5|5|5_5|5|5				
hit:33_conv:66	4	sad	When I realized all the chocolate was gone_comma_ after a long day. 	عندما أدركت أن كل الشوكولاتة قد اختفت ، بعد يوم طويل.	17	That's definitely better than nothing. I hope your days have been better since!	هذا بالتأكيد أفضل من لا شيء. أتمنى أن تكون أيامك أفضل منذ ذلك الحين!	5|5|5_5|5|5				
hit:33_conv:67	1	joyful	My daughter_comma_ who has a fear of water_comma_ has learned to swim this summer! She still gets a little nervous_comma_ but overall she loves it!	ابنتي التي تخاف من الماء تعلمت السباحة هذا الصيف! لا تزال تشعر بالتوتر قليلاً ، لكنها تحبه بشكل عام!	17	My daughter_comma_ Brooklyn_comma_ has finally overcame her fear of water and learned to swim! It makes me so happy to see her loving the water.	ابنتي ، بروكلين ، تغلبت أخيرًا على خوفها من الماء وتعلمت السباحة! يسعدني أن أراها تحب الماء.	5|5|5_5|5|5				
hit:33_conv:67	2	joyful	My daughter_comma_ who has a fear of water_comma_ has learned to swim this summer! She still gets a little nervous_comma_ but overall she loves it!	ابنتي التي تخاف من الماء تعلمت السباحة هذا الصيف! لا تزال تشعر بالتوتر قليلاً ، لكنها تحبه بشكل عام!	11	Thats so special! What a beautiful moment.. How old is she? 	هذا خاص جدا! يا لها من لحظة جميلة .. كم عمرها؟	5|5|5_5|5|5				
hit:33_conv:67	3	joyful	My daughter_comma_ who has a fear of water_comma_ has learned to swim this summer! She still gets a little nervous_comma_ but overall she loves it!	ابنتي التي تخاف من الماء تعلمت السباحة هذا الصيف! لا تزال تشعر بالتوتر قليلاً ، لكنها تحبه بشكل عام!	17	She is 4. She normally is completely fearless_comma_ compared to my son who is afraid of everything. Haha! So I love that she has worked so hard to overcome this.	تبلغ من العمر 4 سنوات وهي عادة لا تخاف على الإطلاق ، مقارنة بابني الذي يخاف من كل شيء. هاها! لذلك أنا أحب أنها عملت بجد للتغلب على هذا.	5|5|5_5|5|5				
hit:33_conv:67	4	joyful	My daughter_comma_ who has a fear of water_comma_ has learned to swim this summer! She still gets a little nervous_comma_ but overall she loves it!	ابنتي التي تخاف من الماء تعلمت السباحة هذا الصيف! لا تزال تشعر بالتوتر قليلاً ، لكنها تحبه بشكل عام!	11	My daughter is 1.5 years old - shes just been introduced to the water.. its always so special when our babies have their "first" moments. Congrats mama!	ابنتي تبلغ من العمر 1.5 عامًا - لقد تم إدخالها للتو إلى الماء .. إنه دائمًا ما يكون مميزًا جدًا عندما يكون أطفالنا في لحظاتهم "الأولى". مبروك ماما!	5|5|5_5|5|5				
hit:33_conv:67	5	joyful	My daughter_comma_ who has a fear of water_comma_ has learned to swim this summer! She still gets a little nervous_comma_ but overall she loves it!	ابنتي التي تخاف من الماء تعلمت السباحة هذا الصيف! لا تزال تشعر بالتوتر قليلاً ، لكنها تحبه بشكل عام!	17	Thank you_comma_ and same to you! I hope you enjoy many happy swimming days with your little princess. 	شكرا لك و لك المثل! أتمنى أن تستمتع بالعديد من أيام السباحة السعيدة مع أميرتك الصغيرة.	5|5|5_5|5|5				
hit:60_conv:120	1	sad	I just found out they are not making a sequel to a movie I like.	اكتشفت للتو أنهم لا يصنعون تكملة لفيلم أحبه.	46	So they just posted online about how they are not making a sequel to Hot Fuzz.	لذا فقد نشروا للتو على الإنترنت كيف أنهم لا يصنعون تكملة لـ Hot Fuzz.	4|3|4_5|5|5				
hit:60_conv:120	2	sad	I just found out they are not making a sequel to a movie I like.	اكتشفت للتو أنهم لا يصنعون تكملة لفيلم أحبه.	1	Oh no. Did they say why?	أوه لا. هل قالوا لماذا؟	4|3|4_5|5|5				
hit:60_conv:120	3	sad	I just found out they are not making a sequel to a movie I like.	اكتشفت للتو أنهم لا يصنعون تكملة لفيلم أحبه.	46	I guess it just did not get enough funding. It just sucks because it is my favorite movie.	أعتقد أنها لم تحصل على التمويل الكافي. إنه مجرد مزعج لأنه فيلمي المفضل.	4|3|4_5|5|5				
hit:60_conv:120	4	sad	I just found out they are not making a sequel to a movie I like.	اكتشفت للتو أنهم لا يصنعون تكملة لفيلم أحبه.	1	Hopefully it might be reconsidered later on.	نأمل أن يعاد النظر فيه لاحقًا.	4|3|4_5|5|5				
hit:60_conv:120	5	sad	I just found out they are not making a sequel to a movie I like.	اكتشفت للتو أنهم لا يصنعون تكملة لفيلم أحبه.	46	That is what im thinking but you can never tell with these things.	هذا ما أفكر فيه ولكن لا يمكنك أبدًا معرفة هذه الأشياء.	4|3|4_5|5|5				
hit:62_conv:125	1	sad	A few years ago when my grandmother died unexpectedly.	قبل بضع سنوات عندما ماتت جدتي بشكل غير متوقع.	53	My grandmother passed away unexpectedly a few years ago.	توفيت جدتي بشكل غير متوقع منذ بضع سنوات.	4|5|5_5|5|5				
hit:62_conv:125	2	sad	A few years ago when my grandmother died unexpectedly.	قبل بضع سنوات عندما ماتت جدتي بشكل غير متوقع.	27	oh no sorry to hear that. I just lost mine in November. It's hard.	أوه لا آسف لسماع ذلك. لقد فقدت خاصتي للتو في نوفمبر. من الصعب.	4|5|5_5|5|5				
hit:62_conv:125	3	sad	A few years ago when my grandmother died unexpectedly.	قبل بضع سنوات عندما ماتت جدتي بشكل غير متوقع.	53	Yes it is. She was the grandparent I was closest to.	نعم إنه كذلك. كانت الجد الأقرب إليّ.	4|5|5_5|5|5				
hit:62_conv:125	4	sad	A few years ago when my grandmother died unexpectedly.	قبل بضع سنوات عندما ماتت جدتي بشكل غير متوقع.	27	People say it gets easier. I'm still waiting for that part.	يقول الناس أن الأمر يصبح أسهل. ما زلت أنتظر هذا الجزء.	4|5|5_5|5|5				
hit:62_conv:125	5	sad	A few years ago when my grandmother died unexpectedly.	قبل بضع سنوات عندما ماتت جدتي بشكل غير متوقع.	53	Yes_comma_ I believe that time is the best way to heal.	نعم ، أعتقد أن الوقت هو أفضل طريقة للشفاء.	4|5|5_5|5|5				
hit:62_conv:125	6	sad	A few years ago when my grandmother died unexpectedly.	قبل بضع سنوات عندما ماتت جدتي بشكل غير متوقع.	27	I hope so. Nice chatting with you.	أتمنى ذلك. لطيفة الدردشة معك.	4|5|5_5|5|5				
hit:62_conv:125	7	sad	A few years ago when my grandmother died unexpectedly.	قبل بضع سنوات عندما ماتت جدتي بشكل غير متوقع.	53	You as well. Have a great day.	انت ايضا. أتمنى لك يوما عظيما.	4|5|5_5|5|5				
hit:68_conv:136	1	joyful	I turn 29 today! It is a great day since its my birthday	أبلغ من العمر 29 اليوم! إنه يوم عظيم منذ عيد ميلادي	46	Today is my birthday! I think tonight we are all going out.	اليوم عيد ميلادي! أعتقد أننا جميعًا نخرج الليلة.	4|2|4_5|5|5				
hit:68_conv:136	2	joyful	I turn 29 today! It is a great day since its my birthday	أبلغ من العمر 29 اليوم! إنه يوم عظيم منذ عيد ميلادي	11	Awesome! Happy Birthday to you! Where are you going? 	رائع! عيد ميلاد سعيد! إلى أين تذهب؟	4|2|4_5|5|5				
hit:68_conv:136	3	joyful	I turn 29 today! It is a great day since its my birthday	أبلغ من العمر 29 اليوم! إنه يوم عظيم منذ عيد ميلادي	46	I think to a amusment park but im not sure!	أعتقد أن حديقة التسلية لكني لست متأكدًا!	4|2|4_5|5|5				
hit:68_conv:136	4	joyful	I turn 29 today! It is a great day since its my birthday	أبلغ من العمر 29 اليوم! إنه يوم عظيم منذ عيد ميلادي	11	That seriously sounds like the best birthday ever... i hope you guys have an awesome time. 	يبدو هذا بجدية وكأنه أفضل عيد ميلاد على الإطلاق ... أتمنى أن تقضي وقتًا رائعًا يا رفاق.	4|2|4_5|5|5				
hit:68_conv:136	5	joyful	I turn 29 today! It is a great day since its my birthday	أبلغ من العمر 29 اليوم! إنه يوم عظيم منذ عيد ميلادي	46	Thank you! I hope you have a good dau.	شكرا لك! أتمنى أن يكون لديك داو جيد.	4|2|4_5|5|5				
hit:69_conv:139	1	sad	I shouldn't have to cook on my birthday. This is when I miss having a boyfriend.	لا يجب أن أطبخ في عيد ميلادي. هذا عندما أفتقد وجود صديق.	27	It makes me sad to be single nowadays.	يحزنني أن أكون أعزب هذه الأيام.	5|5|5_5|5|5				
hit:69_conv:139	2	sad	I shouldn't have to cook on my birthday. This is when I miss having a boyfriend.	لا يجب أن أطبخ في عيد ميلادي. هذا عندما أفتقد وجود صديق.	1	Did you go through a breakup recently?	هل مررت بانفصال مؤخرًا؟	5|5|5_5|5|5				
hit:69_conv:139	3	sad	I shouldn't have to cook on my birthday. This is when I miss having a boyfriend.	لا يجب أن أطبخ في عيد ميلادي. هذا عندما أفتقد وجود صديق.	27	IF two years is recent lol. Today is my birthday and I don't want to cook.	إذا كانت سنتان هي الأخيرة لول. اليوم عيد ميلادي ولا أريد الطبخ.	5|5|5_5|5|5				
hit:69_conv:139	4	sad	I shouldn't have to cook on my birthday. This is when I miss having a boyfriend.	لا يجب أن أطبخ في عيد ميلادي. هذا عندما أفتقد وجود صديق.	1	Happy Birthday! Well_comma_ you can order out of course. 	عيد مولد سعيد! حسنًا ، يمكنك الطلب بالطبع.	5|5|5_5|5|5				
hit:69_conv:139	5	sad	I shouldn't have to cook on my birthday. This is when I miss having a boyfriend.	لا يجب أن أطبخ في عيد ميلادي. هذا عندما أفتقد وجود صديق.	27	I think I will.	اعتقد انى سوف.	5|5|5_5|5|5				
hit:72_conv:144	1	sad	My mom has arthritis in her neck_comma_ and the pain seems to be traveling down now.	أمي مصابة بالتهاب المفاصل في رقبتها ويبدو أن الألم ينتقل إلى أسفل الآن.	1	My mom has arthritis in her neck_comma_ and the pain seems to be traveling down now.	أمي مصابة بالتهاب المفاصل في رقبتها ويبدو أن الألم ينتقل إلى أسفل الآن.	5|5|5_5|5|5				
hit:72_conv:144	2	sad	My mom has arthritis in her neck_comma_ and the pain seems to be traveling down now.	أمي مصابة بالتهاب المفاصل في رقبتها ويبدو أن الألم ينتقل إلى أسفل الآن.	11	I am sorry to hear that.. is there any physical therapy that can help her? 	يؤسفني سماع ذلك .. هل يوجد علاج طبيعي يمكن أن يساعدها؟	5|5|5_5|5|5				
hit:72_conv:144	3	sad	My mom has arthritis in her neck_comma_ and the pain seems to be traveling down now.	أمي مصابة بالتهاب المفاصل في رقبتها ويبدو أن الألم ينتقل إلى أسفل الآن.	1	The doctor just recommended exercise. I'm not sure if they were just busy to do anymore for her or if exercise is the best.	أوصى الطبيب فقط بممارسة الرياضة. لست متأكدًا مما إذا كانوا مشغولين فقط للقيام بذلك من أجلها أو إذا كان التمرين هو الأفضل.	5|5|5_5|5|5				
hit:72_conv:144	4	sad	My mom has arthritis in her neck_comma_ and the pain seems to be traveling down now.	أمي مصابة بالتهاب المفاصل في رقبتها ويبدو أن الألم ينتقل إلى أسفل الآن.	11	Usually moving your body helps but it depends on her situation... i would get a 2nd opinion!	عادة ما يساعد تحريك جسمك ولكن هذا يعتمد على حالتها ... سأحصل على رأي ثان!	5|5|5_5|5|5				
hit:76_conv:152	1	sad	My birthday was last weekend_comma_ and no one wished me a Happy Birthday.	كان عيد ميلادي نهاية الأسبوع الماضي ، ولم يتمنى لي أحد عيد ميلاد سعيد.	1	My birthday was last weekend_comma_ and no one wished me a Happy Birthday.	كان عيد ميلادي نهاية الأسبوع الماضي ، ولم يتمنى لي أحد عيد ميلاد سعيد.	5|5|5_I have clicked the 'End Chat' button thank you!|4|5				
hit:76_conv:152	2	sad	My birthday was last weekend_comma_ and no one wished me a Happy Birthday.	كان عيد ميلادي نهاية الأسبوع الماضي ، ولم يتمنى لي أحد عيد ميلاد سعيد.	53	I'm so sorry to hear that. How sad for you.	أنا آسف جدا لسماع ذلك. كم هو حزين بالنسبة لك.	5|5|5_I have clicked the 'End Chat' button thank you!|4|5				
hit:76_conv:152	3	sad	My birthday was last weekend_comma_ and no one wished me a Happy Birthday.	كان عيد ميلادي نهاية الأسبوع الماضي ، ولم يتمنى لي أحد عيد ميلاد سعيد.	1	It is. I've been absorbed in work for the last 3 years and haven't gone out. So I guess everyone kinda moved on without me.	أنه. لقد استوعبت في العمل منذ 3 سنوات ولم أخرج. لذلك أعتقد أن الجميع انتقلوا نوعا ما بدوني.	5|5|5_I have clicked the 'End Chat' button thank you!|4|5				
hit:76_conv:152	4	sad	My birthday was last weekend_comma_ and no one wished me a Happy Birthday.	كان عيد ميلادي نهاية الأسبوع الماضي ، ولم يتمنى لي أحد عيد ميلاد سعيد.	53	Did he ditch you as well? And how did the girlfriend react?	هل تخلى عنك أيضا؟ وكيف كانت ردة فعل الحبيبة؟	5|5|5_I have clicked the 'End Chat' button thank you!|4|5				
hit:77_conv:154	1	sad	I was told my cat only has a few weeks to live.	قيل لي أن قطتي لديها بضعة أسابيع فقط للعيش.	46	The vet told me my cat only has a few weeks left to live.	أخبرني الطبيب البيطري أن قطتي لم يتبق لها سوى بضعة أسابيع للعيش.	3|4|4_4|5|5				
hit:77_conv:154	2	sad	I was told my cat only has a few weeks to live.	قيل لي أن قطتي لديها بضعة أسابيع فقط للعيش.	11	Thats so terrible! :( Im really sorry... you should do something special everyday and make memories! 	هذا فظيع جدا! :( أنا آسف حقًا ... يجب أن تفعل شيئًا مميزًا كل يوم وتصنع الذكريات!	3|4|4_4|5|5				
hit:77_conv:154	3	sad	I was told my cat only has a few weeks to live.	قيل لي أن قطتي لديها بضعة أسابيع فقط للعيش.	46	I plan on it! He is really old so it is just his time to go and I get that but that doesnt make it any easier.	أخطط لذلك! إنه قديم حقًا لذا فقد حان وقت الذهاب وأنا أفهم ذلك ولكن هذا لا يجعل الأمر أسهل.	3|4|4_4|5|5				
hit:77_conv:154	4	sad	I was told my cat only has a few weeks to live.	قيل لي أن قطتي لديها بضعة أسابيع فقط للعيش.	11	It really doesnt.. i had to put my dog to sleep and it was extremely painful. I really hope that he can rest without pain and that you can feel better soon.. 	إنه حقًا لا .. كان علي أن أنام كلبي وكان الأمر مؤلمًا للغاية. آمل حقًا أن يستريح بدون ألم وأن تشعر بتحسن قريبًا ..	3|4|4_4|5|5				
hit:77_conv:154	5	sad	I was told my cat only has a few weeks to live.	قيل لي أن قطتي لديها بضعة أسابيع فقط للعيش.	46	Yeah It is just one of those things we all have to go through at some point.	نعم إنها مجرد واحدة من تلك الأشياء التي يتعين علينا جميعًا المرور بها في مرحلة ما.	3|4|4_4|5|5				
hit:78_conv:157	1	sad	when my dog died 	عندما مات كلبي	11	I had to put my dog to sleep and it was super stressing! :( 	اضطررت إلى وضع كلبي للنوم وكان الأمر مرهقًا للغاية! :(	5|5|5_5|5|5				
hit:78_conv:157	2	sad	when my dog died 	عندما مات كلبي	27	oh no. I'm sorry to hear that.	أوه لا. انا اسف لسماع ذلك.	5|5|5_5|5|5				
hit:78_conv:157	3	sad	when my dog died 	عندما مات كلبي	11	Thanks_comma_ it always sucks when you have to say goodbye.. but shes better off now without pain. Do you have any pets? 	شكرًا ، إنه أمر مزعج دائمًا عندما يتعين عليك أن تقول وداعًا .. لكنها أفضل حالًا الآن دون ألم. هل لديك أي حيوانات أليفة؟	5|5|5_5|5|5				
